id,name,shortName,tla,crest,address,website,founded,clubColors,venue,lastUpdated
779,Australia,Australia,AUS,https://crests.football-data.org/779.svg,"Locked Bag A 4071 Sydney, NSW NSW 1235",http://www.footballaustralia.com.au,1961.0,Gold / Green,,2021-05-22T11:30:43Z
780,Serbia,Serbia,SRB,https://crests.football-data.org/780.svg,Terazije 35 / CP 263 Beograd 11000,http://www.fss.rs,1919.0,Red / Blue / White,Stadion Rajko Mitić,2022-04-02T10:42:59Z
781,Cameroon,Cameroon,CMR,https://crests.football-data.org/cameroon.svg,"Avenue du 27 Août 1940, Tsinga Yaoundé 1116",http://www.fecafoot-officiel.com,1959.0,Green / Red / Yellow,,2022-04-02T10:42:41Z
782,Denmark,Denmark,DEN,https://crests.football-data.org/782.svg,"House of Football, DBU Allé 1 Brøndby 2605",http://www.dbu.dk,1889.0,Red / White,Telia Parken,2021-05-26T10:45:14Z
783,New Zealand,New Zealand,NZL,https://crests.football-data.org/783.svg,"North Harbour Stadium, Stadium Drive Auckland null",http://www.nzfootball.co.nz,1891.0,White / Black,,2021-07-26T12:28:30Z
784,Italy,Italy,ITA,https://crests.football-data.org/784.svg,"Via Gregorio Allegri, 14 / CP 2450 Roma 00198",http://www.figc.it,1898.0,Blue / White,Stadio Artemio Franchi,2021-05-26T10:29:34Z
788,Switzerland,Switzerland,SUI,https://crests.football-data.org/788.svg,Worbstrasse 48 Bern 3000,http://www.football.ch,1895.0,Red / White,St. Jakob-Park,2021-05-26T10:29:27Z
789,Honduras,,,https://crests.football-data.org/honduras.svg,null null null,,,,,2021-11-19T09:04:06Z
790,Ukraine,Ukraine,UKR,https://crests.football-data.org/790.svg,Provulok Laboratorniy 7-A / PO Box 55 Kyïv 01133,http://www.ffu.org.ua,1991.0,Yellow / Blue,NSK Olimpijs'kyj,2021-06-02T14:19:45Z
791,Ecuador,Ecuador,ECU,https://crests.football-data.org/791.svg,Avenida Las Aguas y Calle Alianza Guayaquil 593,http://www.ecuafutbol.org,1925.0,Yellow / Blue / Red,,2022-11-10T15:13:40Z
792,Sweden,Sweden,SWE,https://crests.football-data.org/792.svg,Evenemangsgatan 31 / Box 1216 Solna 17123,http://www.svenskfotboll.se,1904.0,Yellow / Blue,Friends Arena,2021-05-26T10:29:20Z
793,Costa Rica,Costa Rica,CRC,https://crests.football-data.org/costa_rica.svg,Radial Santa Ana Belén San José 670-1000,http://www.fedefutbol.com,1921.0,Red / Blue / White,Cosmos Arena,2022-11-01T10:50:09Z
794,Poland,Poland,POL,https://crests.football-data.org/794.svg,"Bitwy Warszawskiej 1920 r., 7 Warszawa 02366",http://www.pzpn.pl,1919.0,White / Red,Stadion Energa Gdańsk,2021-05-26T09:49:02Z
795,Trinidad and Tobago,,,https://crests.football-data.org/795.png,null null null,,,,,2024-03-28T08:16:08Z
796,Serbia and Montenegro,,,,null null null,,,,,2021-10-06T16:36:55Z
797,Angola,Angola,ANG,https://crests.football-data.org/angola.svg,"Senado de Camara, Complex da Cidadela Desportiva Luanda 3449",http://www.faf.co.ao,1979.0,Red / Black,,2021-11-12T09:25:08Z
798,Czechia,Czechia,CZE,https://crests.football-data.org/798.svg,Diskařská 2431/4 Praha 16017,http://www.fotbal.cz,1901.0,Red / White / Blue,Sinobo Stadium,2024-05-14T22:53:38Z
799,Croatia,Croatia,CRO,https://crests.football-data.org/799.svg,"Ulica grada Vukovara, 269 A Zagreb 10000",http://www.hns-cff.hr,1912.0,Red / White / Blue,Stadion Maksimir,2021-05-26T10:28:24Z
800,Togo,Togo,TOG,https://crests.football-data.org/800.png,Route de Kegué Lomé null,http://www.ftftogo.com,1960.0,Yellow / Green,,2025-01-27T15:50:40Z
801,Saudi Arabia,Saudi Arabia,KSA,https://crests.football-data.org/saudi_arabia.svg,"Al Mather Quarter, Prince Faisal bin Fahad Street, P.O. Box 5844 ar-Riyāḍ 11432",http://www.thesaff.com.sa,1956.0,White / Green,,2022-04-02T10:42:19Z
802,Tunisia,Tunisia,TUN,https://crests.football-data.org/tunisia.svg,Stade Annexe d'El Menzah Tunis 1003,http://www.ftf.org.tn,1957.0,White / Red,,2022-04-02T10:41:55Z
803,Turkey,Turkey,TUR,https://crests.football-data.org/803.svg,"Istinye Mahallesi, Darüşşafaka Caddesi, 45 İstanbul 34330",http://www.tff.org,1923.0,Red / White,Ali Sami Yen Stadyumu,2021-05-26T10:28:10Z
